href,name,born,died,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Gregory_Corso,Gregory Corso,1930,2001,,"Minneapolis, Minnesota",0,0,-93.2654692,44.9772995
https://en.wikipedia.org/wiki/Jayne_Cortez,Jayne Cortez,1936,2012,"Fort Huachuca, Arizona",Manhattan,-110.36064751457800,31.527254500000000,-73.95905442771000,40.7814865
https://en.wikipedia.org/wiki/Gerald_Costanzo,Gerald Costanzo,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Joe_Cottonwood,Joe Cottonwood,1947,,,,0,0,0,0
https://en.wikipedia.org/wiki/Henri_Coulette,Henri Coulette,1927,1988,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Cournos,John Cournos,1881,1966,,,0,0,0,0
https://en.wikipedia.org/wiki/Elise_Cowen,Elise Cowen,1933,1962,"Washington Heights, Manhattan","Washington Heights, Manhattan",-73.9402214,40.8401984,-73.9402214,40.8401984
https://en.wikipedia.org/wiki/Louis_O._Coxe,Louis O. Coxe,1918,1993,"Manchester, New Hampshire","Augusta, Maine",-71.4547891,42.9956397,-69.7700241,44.3155295
https://en.wikipedia.org/wiki/Christopher_Pearse_Cranch,Christopher Pearse Cranch,1813,1892,District of Columbia,"Cambridge, Massachusetts",-76.98804281910950,38.89384735,-71.1040018,42.3655767
https://en.wikipedia.org/wiki/Hart_Crane,Hart Crane,1899,1932,"Garrettsville, Ohio",Gulf of Mexico,-81.096486,41.284222,-89.9066163,25.2834459
https://en.wikipedia.org/wiki/Stephen_Crane,Stephen Crane,1871,1900,"Newark, New Jersey",Badenweiler,-74.1723667,40.735657,6.892622,48.5004262
https://en.wikipedia.org/wiki/Adelaide_Crapsey,Adelaide Crapsey,1878,1914,"Brooklyn, New York","Rochester, New York",-73.9497211,40.6526006,-77.615214,43.157285
https://en.wikipedia.org/wiki/Alice_Arnold_Crawford,Alice Arnold Crawford,1850,1874,"Fond du Lac, Wisconsin",,-88.4493796,43.7533414,0,0
https://en.wikipedia.org/wiki/Gary_William_Crawford,Gary William Crawford,1953,,,,0,0,0,0
https://en.wikipedia.org/wiki/Robert_Creeley,Robert Creeley,1926,2005,"Arlington, Massachusetts","Odessa, Texas",-71.1564428,42.4153739,-102.367687,31.8457149
https://en.wikipedia.org/wiki/Judson_Crews,Judson Crews,1917,2010,,"Taos, New Mexico",0,0,-105.573284,36.4072377
https://en.wikipedia.org/wiki/Harry_Crosby,Harry Crosby,1898,1929,Boston,,-71.060511,42.3554334,0,0
https://en.wikipedia.org/wiki/Anne_Virginia_Culbertson,Anne Virginia Culbertson,1857,1918,"Zanesville, Ohio","Delaware, Ohio",-82.005019,39.9401426,-82.9651045,40.2317686
https://en.wikipedia.org/wiki/Countee_Cullen,Countee Cullen,1903,1946,"Baltimore, Maryland",,-76.610759,39.2908816,0,0
https://en.wikipedia.org/wiki/E._E._Cummings,E. E. Cummings,1894,1962,"Cambridge, Massachusetts","Madison, New Hampshire",-71.1040018,42.3655767,-71.148834,43.8993653
https://en.wikipedia.org/wiki/James_Cummins_(poet),James Cummins (poet),,,,,0,0,0,0
https://en.wikipedia.org/wiki/J.V._Cunningham,J.V. Cunningham,1911,1985,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Curl,John Curl,1940,,,,0,0,0,0
https://en.wikipedia.org/wiki/Jen_Currin,Jen Currin,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Bloodgood_Cutter,Bloodgood Cutter,1817,1906,,,0,0,0,0
https://en.wikipedia.org/wiki/Beverly_Dahlen,Beverly Dahlen,1934,,,,0,0,0,0
https://en.wikipedia.org/wiki/Steve_Dalachinsky,Steve Dalachinsky,1946,2019,"Brooklyn, New York","Long Island, New York",-73.9497211,40.6526006,-73.0994258107431,40.85149705
https://en.wikipedia.org/wiki/Enid_Dame,Enid Dame,1943,2003,,,0,0,0,0
https://en.wikipedia.org/wiki/S._Foster_Damon,S. Foster Damon,1893,1971,,,0,0,0,0
https://en.wikipedia.org/wiki/Jim_Daniels,Jim Daniels,1956,,,,0,0,0,0
https://en.wikipedia.org/wiki/Elizabeth_Otis_Dannelly,Elizabeth Otis Dannelly,1838,1896,"Monticello, Georgia",Dallas,-83.684096,33.3044654,-96.7968559,32.7762719
https://en.wikipedia.org/wiki/Hugh_Antoine_d%27Arcy,Hugh Antoine d'Arcy,1842,1925,,,0,0,0,0
https://en.wikipedia.org/wiki/Annie_McCarer_Darlington,Annie McCarer Darlington,1836,1907,,,0,0,0,0
https://en.wikipedia.org/wiki/Tina_Darragh,Tina Darragh,1950,,,,0,0,0,0
https://en.wikipedia.org/wiki/Robert_von_Dassanowsky,Robert von Dassanowsky,1960,,,,0,0,0,0
https://en.wikipedia.org/wiki/Guy_Davenport,Guy Davenport,1927,2005,"Anderson, South Carolina","Lexington, Kentucky",-82.652962,34.5258335,-84.4970393,38.0464066
https://en.wikipedia.org/wiki/Chad_Davidson,Chad Davidson,1970,,,,0,0,0,0
https://en.wikipedia.org/wiki/Donald_Davidson_(poet),Donald Davidson (poet),1893,1968,"Campbellsville, Tennessee","Nashville, Tennessee",-87.1305657,35.3373002,-86.7742984,36.1622767
https://en.wikipedia.org/wiki/Gustav_Davidson,Gustav Davidson,1895,1971,Warsaw,"Santa Cruz, California",21.071432235636500,52.2337172,-121.9905908,37.050096
https://en.wikipedia.org/wiki/Lucretia_Maria_Davidson,Lucretia Maria Davidson,1808,1825,"Plattsburgh (city), New York",,-73.45562,44.69282,0,0
https://en.wikipedia.org/wiki/Michael_Davidson_(poet),Michael Davidson (poet),1944,,,,0,0,0,0
https://en.wikipedia.org/wiki/Alan_Davies_(poet),Alan Davies (poet),1951,,,,0,0,0,0
https://en.wikipedia.org/wiki/Dale_Davis_(poet),Dale Davis (poet),,,,,0,0,0,0
https://en.wikipedia.org/wiki/Gwen_Davis,Gwen Davis,1936,,,,0,0,0,0
https://en.wikipedia.org/wiki/Jon_Davis_(poet),Jon Davis (poet),1952,,,,0,0,0,0
https://en.wikipedia.org/wiki/Clarence_Day,Clarence Day,1874,1935,New York City,,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Jaime_de_Angulo,Jaime de Angulo,1887,1950,,,0,0,0,0
https://en.wikipedia.org/wiki/Caridad_de_la_Luz,Caridad de la Luz,1977,,,,0,0,0,0
https://en.wikipedia.org/wiki/Michelle_Regalado_Deatrick,Michelle Regalado Deatrick,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Philip_F._Deaver,Philip F. Deaver,1946,,,,0,0,0,0
https://en.wikipedia.org/wiki/Madeline_DeFrees,Madeline DeFrees,1919,2015,,,0,0,0,0
https://en.wikipedia.org/wiki/Alice_S._Deletombe,Alice S. Deletombe,1854,1929,,,0,0,0,0
https://en.wikipedia.org/wiki/Edwin_Denby_(poet),Edwin Denby (poet),1903,1983,,"Searsmont, Maine",0,0,-69.1950411,44.3617419
https://en.wikipedia.org/wiki/Richard_Denner,Richard Denner,1941,,,,0,0,0,0
https://en.wikipedia.org/wiki/Reuel_Denney,Reuel Denney,1913,1995,,,0,0,0,0
https://en.wikipedia.org/wiki/Carl_Dennis,Carl Dennis,1939,,,,0,0,0,0
https://en.wikipedia.org/wiki/Tory_Dent,Tory Dent,1958,2005,,,0,0,0,0
https://en.wikipedia.org/wiki/Babette_Deutsch,Babette Deutsch,1895,1982,New York City,,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Jamie_DeWolf,Jamie DeWolf,1977,,"Eureka, California",,-124.1673746,40.7906871,0,0
https://en.wikipedia.org/wiki/Diane_Di_Prima,Diane Di Prima,1934,2020,Brooklyn,,-73.9497211,40.6526006,0,0
https://en.wikipedia.org/wiki/Jennifer_K_Dick,Jennifer K Dick,1970,,,,0,0,0,0
https://en.wikipedia.org/wiki/George_Dickerson,George Dickerson,1933,2015,,New York City,0,0,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/James_Dickey,James Dickey,1923,1997,"Atlanta, Georgia",,-84.3902644,33.7489924,0,0
https://en.wikipedia.org/wiki/Emily_Dickinson,Emily Dickinson,1830,1886,"Amherst, Massachusetts",,-72.505714,42.3685658,0,0
https://en.wikipedia.org/wiki/Roger_Dickinson-Brown,Roger Dickinson-Brown,1944,,,,0,0,0,0
https://en.wikipedia.org/wiki/Matthew_Dickman,Matthew Dickman,1975,,,,0,0,0,0
https://en.wikipedia.org/wiki/Michael_Dickman,Michael Dickman,1975,,,,0,0,0,0
https://en.wikipedia.org/wiki/Annie_Dillard,Annie Dillard,1945,,Pittsburgh,,-79.9900861,40.4416941,0,0
https://en.wikipedia.org/wiki/R._H._W._Dillard,R. H. W. Dillard,1937,,,,0,0,0,0
https://en.wikipedia.org/wiki/George_Dillon_(poet),George Dillon (poet),1906,1968,"Jacksonville, Florida",,-81.655651,30.3321838,0,0
https://en.wikipedia.org/wiki/Ray_DiPalma,Ray DiPalma,1943,2016,,,0,0,0,0
https://en.wikipedia.org/wiki/Thomas_M._Disch,Thomas M. Disch,1940,2008,"Des Moines, Iowa","Manhattan, New York City",-93.6046655,41.5910323,-73.95905442771000,40.7814865
https://en.wikipedia.org/wiki/Yana_Djin,Yana Djin,1969,,,,0,0,0,0
https://en.wikipedia.org/wiki/Patricia_Dobler,Patricia Dobler,1939,2004,,"Pittsburgh, Pennsylvania",0,0,-79.9900861,40.4416941
https://en.wikipedia.org/wiki/Stephen_Dobyns,Stephen Dobyns,1941,,,,0,0,0,0
https://en.wikipedia.org/wiki/Mary_Ann_Hanmer_Dodd,Mary Ann Hanmer Dodd,1813,1878,,"Albany, New York",0,0,-73.754968,42.6511674
https://en.wikipedia.org/wiki/Owen_Dodson,Owen Dodson,1914,1983,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Dolan_(writer),John Dolan (writer),1955,,,,0,0,0,0
https://en.wikipedia.org/wiki/Nathan_Haskell_Dole,Nathan Haskell Dole,1852,1935,"Chelsea, Massachusetts","Yonkers, New York",-71.0328284,42.3917638,-73.8987469,40.9312099
https://en.wikipedia.org/wiki/Sonya_Dorman,Sonya Dorman,1924,2005,,,0,0,0,0
https://en.wikipedia.org/wiki/Ed_Dorn,Ed Dorn,1929,1999,,,0,0,0,0
https://en.wikipedia.org/wiki/Julia_Caroline_Dorr,Julia Caroline Dorr,1825,1913,"Charleston, South Carolina",,-79.9399309,32.7884363,0,0
https://en.wikipedia.org/wiki/Catherine_Doty,Catherine Doty,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Mark_Doty,Mark Doty,1953,,"Maryville, Tennessee",,-83.9704593,35.7564719,0,0
https://en.wikipedia.org/wiki/Alice_May_Douglas,Alice May Douglas,1865,1943,"Bath, Maine",,-69.8138057,43.9128237,0,0
https://en.wikipedia.org/wiki/Franz_Douskey,Franz Douskey,1941,,,,0,0,0,0
