href,name,born,died,info,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Elizabeth_Bishop,Elizabeth Bishop,1911,1979,US poet and short-story writer; US Poet Laureate,"Worcester, Massachusetts","Boston, Massachusetts",-71.80189,42.26256,-71.06051,42.35543
https://en.wikipedia.org/wiki/Ram_Prasad_Bismil,Ram Prasad Bismil,1897,1927,poet and revolutionary writing in Urdu and Hindi,Shahjahanpur,Gorakhpur,79.82472,27.82877,83.41368,26.77924
https://en.wikipedia.org/wiki/Bill_Bissett,Bill Bissett,1939,0,Canadian anti-conventional poet,City of Halifax,,-63.58595,44.64862,0,0
https://en.wikipedia.org/wiki/Sherwin_Bitsui,Sherwin Bitsui,1975,0,US Navajo poet,"Holbrook, Arizona",,-110.15933,34.90371,0,0
https://en.wikipedia.org/wiki/Paul_Blackburn_(US_poet),Paul Blackburn,1926,1971,,"St. Albans (city), Vermont","Cortland, New York",-73.08772,44.80718,-76.07049,42.58421
https://en.wikipedia.org/wiki/Richard_Palmer_Blackmur,Richard Palmer Blackmur,1904,1965,US literary critic and poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Lucian_Blaga,Lucian Blaga,1895,1961,"Romanian philosopher, poet and playwright",Lámkerék,Cluj-Napoca,23.5557,45.98718,23.58995,46.76938
https://en.wikipedia.org/wiki/Lewis_Blake,Lewis Blake,1946,0,English poet,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Blake,William Blake,1757,1827,"English painter, poet and printmaker",Soho,Charing Cross,-0.13505,51.51407,-0.12369,51.5075
https://en.wikipedia.org/wiki/Don_Blanding,Don Blanding,1894,1957,"US poet, journalist, writer and speaker",,,0,0,0,0
https://en.wikipedia.org/wiki/Adrian_Blevins,Adrian Blevins,1964,0,US poet,"Abingdon, Virginia",,-81.97525,36.7104,0,0
https://en.wikipedia.org/wiki/Mathilde_Blind,Mathilde Blind,1841,1896,German-born English poet and writer,Mannheim,,8.46731,49.48929,0,0
https://en.wikipedia.org/wiki/Alexander_Blok,Alexander Blok,1880,1921,Russian lyrical poet,Old Style and New Style dates,Saint Petersburg,0,0,0,0
https://en.wikipedia.org/wiki/Benjamin_Paul_Blood,Benjamin Paul Blood,1832,1919,US philosopher and poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Robert_Bloomfield,Robert Bloomfield,1766,1823,English laboring-class poet,"Honington, Suffolk","Shefford, Bedfordshire",0.80236,52.33659,-0.33552,52.03841
https://en.wikipedia.org/wiki/Roy_Blumenthal,Roy Blumenthal,1968,0,South African poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Edmund_Blunden,Edmund Blunden,1896,1974,"English poet, author and literary critic",London,Long Melford,-0.14406,51.48933,0.71521,52.07366
